Week,Matchup,Adjusted ML,Final Score,ML Result,ATS Result,Notes
4,Seahawks @ Cardinals,Cardinals ML,,,,
4,Vikings @ Steelers,Vikings ML,,,,
4,Commanders @ Falcons,Commanders ML,,,,
4,Browns @ Lions,Lions ML,,,,
4,Titans @ Texans,Texans ML,,,,
4,Eagles @ Buccaneers,Eagles ML,,,,
4,Saints @ Bills,Bills ML,,,,
4,Panthers @ Patriots,Patriots ML,,,,
4,Chargers @ Giants,Chargers ML,,,,
4,Jaguars @ 49ers,Jaguars ML,,,,
4,Colts @ Rams,Rams ML,,,,
4,Bears @ Raiders,Raiders ML,,,,
4,Ravens @ Chiefs,Chiefs ML,,,,
4,Packers @ Cowboys,Packers ML,,,,
4,Jets @ Dolphins,Dolphins ML,,,,
4,Bengals @ Broncos,Broncos ML,,,,
