Matchup,Away,Home,Spread,Over/Under,Status
49ers vs Rams,49ers,Rams,,,
Vikings vs Browns,Vikings,Browns,,,
Raiders vs Colts,Raiders,Colts,,,
Jets vs Saints,Jets,Saints,,,
Cowboys vs Giants,Cowboys,Giants,,,
Broncos vs Eagles,Broncos,Eagles,,,
Dolphins vs Panthers,Dolphins,Panthers,,,
Texans vs Ravens,Texans,Ravens,,,
Titans vs Cardinals,Titans,Cardinals,,,
Buccaneers vs Seahawks,Buccaneers,Seahawks,,,
Lions vs Bengals,Lions,Bengals,,,
Commanders vs Chargers,Commanders,Chargers,,,
Patriots vs Bills,Patriots,Bills,,,
Chiefs vs Jaguars,Chiefs,Jaguars,,,
