week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
15,Atlanta Falcons,Arizona,,,,,,2025-10-05 08:01:22
15,Buffalo Bills,Cleveland,,,,,,2025-10-05 08:01:22
15,Cincinnati Bengals,Miami,,,,,,2025-10-05 08:01:22
15,Green Bay Packers,Chicago,,,,,,2025-10-05 08:01:22
15,Jacksonville Jaguars,Denver,,,,,,2025-10-05 08:01:22
15,Kansas City Chiefs,Tennessee,,,,,,2025-10-05 08:01:22
15,Los Angeles Chargers,Dallas,,,,,,2025-10-05 08:01:22
15,Los Angeles Rams,Seattle,,,,,,2025-10-05 08:01:22
15,Las Vegas Raiders,Houston,,,,,,2025-10-05 08:01:22
15,Minnesota Vikings,New,,,,,,2025-10-05 08:01:22
15,New England Patriots,Baltimore,,,,,,2025-10-05 08:01:22
15,New York Jets,New,,,,,,2025-10-05 08:01:22
15,Philadelphia Eagles,Washington,,,,,,2025-10-05 08:01:22
15,Pittsburgh Steelers,Detroit,,,,,,2025-10-05 08:01:22
15,Tampa Bay Buccaneers,Carolina,,,,,,2025-10-05 08:01:22
