Week,Away Team,Home Team,Date,Time,Kickoff ISO
1,Dallas Cowboys,Philadelphia,2025-09-04,,2025-09-04 00:00
1,Kansas City Chiefs,Los,2025-09-05,,2025-09-05 00:00
1,Arizona Cardinals,New,2025-09-07,,2025-09-07 00:00
1,Baltimore Ravens,Buffalo,2025-09-07,,2025-09-07 00:00
1,Carolina Panthers,Jacksonville,2025-09-07,,2025-09-07 00:00
1,Cincinnati Bengals,Cleveland,2025-09-07,,2025-09-07 00:00
1,Detroit Lions,Green,2025-09-07,,2025-09-07 00:00
1,Houston Texans,Los,2025-09-07,,2025-09-07 00:00
1,Las Vegas Raiders,New,2025-09-07,,2025-09-07 00:00
1,Miami Dolphins,Indianapolis,2025-09-07,,2025-09-07 00:00
1,New York Giants,Washington,2025-09-07,,2025-09-07 00:00
1,Pittsburgh Steelers,New,2025-09-07,,2025-09-07 00:00
1,Tampa Bay Buccaneers,Atlanta,2025-09-07,,2025-09-07 00:00
1,Tennessee Titans,Denver,2025-09-07,,2025-09-07 00:00
1,ers,Seattle,2025-09-07,,2025-09-07 00:00
1,Minnesota Vikings,Chicago,2025-09-08,,2025-09-08 00:00
2,Washington Commanders,Green,2025-09-11,,2025-09-11 00:00
2,Atlanta Falcons,Minnesota,2025-09-14,,2025-09-14 00:00
2,Buffalo Bills,New,2025-09-14,,2025-09-14 00:00
2,Carolina Panthers,Arizona,2025-09-14,,2025-09-14 00:00
2,Chicago Bears,Detroit,2025-09-14,,2025-09-14 00:00
2,Cleveland Browns,Baltimore,2025-09-14,,2025-09-14 00:00
2,Denver Broncos,Indianapolis,2025-09-14,,2025-09-14 00:00
2,Jacksonville Jaguars,Cincinnati,2025-09-14,,2025-09-14 00:00
2,Los Angeles Rams,Tennessee,2025-09-14,,2025-09-14 00:00
2,New England Patriots,Miami,2025-09-14,,2025-09-14 00:00
2,New York Giants,Dallas,2025-09-14,,2025-09-14 00:00
2,Philadelphia Eagles,Kansas,2025-09-14,,2025-09-14 00:00
2,Seattle Seahawks,Pittsburgh,2025-09-14,,2025-09-14 00:00
2,ers,New,2025-09-14,,2025-09-14 00:00
2,Los Angeles Chargers,Las,2025-09-15,,2025-09-15 00:00
2,Tampa Bay Buccaneers,Houston,2025-09-15,,2025-09-15 00:00
3,Miami Dolphins,Buffalo,2025-09-18,,2025-09-18 00:00
3,Arizona Cardinals,San,2025-09-21,,2025-09-21 00:00
3,Atlanta Falcons,Carolina,2025-09-21,,2025-09-21 00:00
3,Cincinnati Bengals,Minnesota,2025-09-21,,2025-09-21 00:00
3,Dallas Cowboys,Chicago,2025-09-21,,2025-09-21 00:00
3,Denver Broncos,Los,2025-09-21,,2025-09-21 00:00
3,Green Bay Packers,Cleveland,2025-09-21,,2025-09-21 00:00
3,Houston Texans,Jacksonville,2025-09-21,,2025-09-21 00:00
3,Indianapolis Colts,Tennessee,2025-09-21,,2025-09-21 00:00
3,Kansas City Chiefs,New,2025-09-21,,2025-09-21 00:00
3,Las Vegas Raiders,Washington,2025-09-21,,2025-09-21 00:00
3,Los Angeles Rams,Philadelphia,2025-09-21,,2025-09-21 00:00
3,New Orleans Saints,Seattle,2025-09-21,,2025-09-21 00:00
3,New York Jets,Tampa,2025-09-21,,2025-09-21 00:00
3,Pittsburgh Steelers,New,2025-09-21,,2025-09-21 00:00
3,Detroit Lions,Baltimore,2025-09-22,,2025-09-22 00:00
4,Seattle Seahawks,Arizona,2025-09-25,,2025-09-25 00:00
4,Baltimore Ravens,Kansas,2025-09-28,,2025-09-28 00:00
4,Carolina Panthers,New,2025-09-28,,2025-09-28 00:00
4,Chicago Bears,Las,2025-09-28,,2025-09-28 00:00
4,Cleveland Browns,Detroit,2025-09-28,,2025-09-28 00:00
4,Green Bay Packers,Dallas,2025-09-28,,2025-09-28 00:00
4,Indianapolis Colts,Los,2025-09-28,,2025-09-28 00:00
4,Jacksonville Jaguars,San,2025-09-28,,2025-09-28 00:00
4,Los Angeles Chargers,New,2025-09-28,,2025-09-28 00:00
4,Minnesota Vikings,Pittsburgh,2025-09-28,,2025-09-28 00:00
4,New Orleans Saints,Buffalo,2025-09-28,,2025-09-28 00:00
4,Philadelphia Eagles,Tampa,2025-09-28,,2025-09-28 00:00
4,Tennessee Titans,Houston,2025-09-28,,2025-09-28 00:00
4,Washington Commanders,Atlanta,2025-09-28,,2025-09-28 00:00
4,Cincinnati Bengals,Denver,2025-09-29,,2025-09-29 00:00
4,New York Jets,Miami,2025-09-29,,2025-09-29 00:00
5,ers,Los,2025-10-02,,2025-10-02 00:00
5,Dallas Cowboys,New,2025-10-05,,2025-10-05 00:00
