season,season_type,week,game_id,kickoff_utc,kickoff_et,kickoff_pt,home_team,home_abbr,away_team,away_abbr,venue,city,state_or_country,network,international,neutral_site,divisional,conference,game_label,notes
2025,REG,5,2025W05-ARI@Indianapolis,,TBD,,Indianapolis,,Arizona Cardinals,ARI,,,,1:00P FOX,,,,,,
2025,REG,5,2025W05-BUF@Atlanta,,TBD,,Atlanta,,Buffalo Bills,BUF,,,,TBD,,,,,,
2025,REG,5,2025W05-CHI@Washington,,TBD,,Washington,,Chicago Bears,CHI,,,,8:15P ABC,,,,,,
2025,REG,5,2025W05-CIN@Green,,TBD,,Green,,Cincinnati Bengals,CIN,,,,4:25P CBS,,,,,,
2025,REG,5,2025W05-CLE@Pittsburgh,,TBD,,Pittsburgh,,Cleveland Browns,CLE,,,,1:00P CBS,,,,,,
2025,REG,5,2025W05-DAL@Carolina,,TBD,,Carolina,,Dallas Cowboys,DAL,,,,1:00P FOX,,,,,,
2025,REG,5,2025W05-DEN@New,,TBD,,New,,Denver Broncos,DEN,,,,9:30A NFLN,,True,,,,
2025,REG,5,2025W05-DET@Kansas,,TBD,,Kansas,,Detroit Lions,DET,,,,8:20P NBC,,,,,,
2025,REG,5,2025W05-LAC@Miami,,TBD,,Miami,,Los Angeles Chargers,LAC,,,,1:00P CBS,,,,,,
2025,REG,5,2025W05-LAR@Baltimore,,TBD,,Baltimore,,Los Angeles Rams,LAR,,,,1:00P FOX,,,,,,
2025,REG,5,2025W05-NE@New,,TBD,,New,,New England Patriots,NE,,,,4:25P CBS,,,,,,
2025,REG,5,2025W05-PHI@New,,TBD,,New,,Philadelphia Eagles,PHI,,,,PRIME VIDEO,,,,,,
2025,REG,5,2025W05-SEA@Jacksonville,,TBD,,Jacksonville,,Seattle Seahawks,SEA,,,,1:00P FOX,,,,,,
2025,REG,5,2025W05-SF@Tampa,,TBD,,Tampa,,San Francisco 49ers,SF,,,,1:00P CBS,,,,,,
2025,REG,5,2025W05-TEN@Las,,TBD,,Las,,Tennessee Titans,TEN,,,,4:05P FOX,,,,,,
