week,away_team,home_team,home_ml,away_ml,home_spread,away_spread,total,book_time
5,Arizona Cardinals,Indianapolis,,,,,,2025-10-03 15:33:32
5,Buffalo Bills,Atlanta,,,,,,2025-10-03 15:33:32
5,Chicago Bears,Washington,,,,,,2025-10-03 15:33:32
5,Cincinnati Bengals,Green,,,,,,2025-10-03 15:33:32
5,Cleveland Browns,Pittsburgh,,,,,,2025-10-03 15:33:32
5,Dallas Cowboys,Carolina,,,,,,2025-10-03 15:33:32
5,Denver Broncos,New,,,,,,2025-10-03 15:33:32
5,Detroit Lions,Kansas,,,,,,2025-10-03 15:33:32
5,Los Angeles Chargers,Miami,,,,,,2025-10-03 15:33:32
5,Los Angeles Rams,Baltimore,,,,,,2025-10-03 15:33:32
5,New England Patriots,New,,,,,,2025-10-03 15:33:32
5,Philadelphia Eagles,New,,,,,,2025-10-03 15:33:32
5,Seattle Seahawks,Jacksonville,,,,,,2025-10-03 15:33:32
5,San Francisco 49ers,Tampa,,,,,,2025-10-03 15:33:32
5,Tennessee Titans,Las,,,,,,2025-10-03 15:33:32
